source,target,r_auc,pval,sign,type
MAFF,FOSL2,0.6313,0.0,1,activation
FOSL2,MAFF,0.6313,0.0,1,activation
MAFG,MAFK,0.6263,0.0,1,activation
MAFK,MAFG,0.6263,0.0,1,activation
BHLHE40,KLF10,0.6178,0.0,1,activation
FOSL2,DDIT3,0.6152,0.0,1,activation
MAFK,ATF4,0.6086,0.0,1,activation
MAFK,HES1,0.5832,0.0,1,activation
FOSL2,MAFK,0.5822,0.0,1,activation
MAFK,FOSL2,0.5822,0.0,1,activation
CEBPB,FOSL2,0.5694,0.0,1,activation
MAFF,MAFK,0.5629,0.0,1,activation
MAFK,MAFF,0.5629,0.0,1,activation
FOSL1,ATF3,0.557,0.0,1,activation
FOS,KLF10,0.552,0.0,1,activation
DDIT3,ATF4,0.5511,0.0,1,activation
ATF4,DDIT3,0.5511,0.0,1,activation
MAFK,FOSL1,0.5488,0.0,1,activation
FOSL1,MAFK,0.5488,0.0,1,activation
JUND,MAFK,0.5481,0.0,1,activation
JUNB,CEBPD,0.537,0.0,1,activation
DDIT3,ATF3,0.5258,0.0,1,activation
MAFK,LTF,0.5235,0.0,1,activation
MAFK,ATF3,0.5216,0.0,1,activation
ATF3,MAFK,0.5216,0.0,1,activation
KLF4,KLF5,0.5175,0.0,1,activation
HES1,KLF10,0.5041,0.0,1,activation
JUN,SOX9,0.4967,0.0,1,activation
YBX1,KLF5,0.4925,0.0,1,activation
CEBPD,FOS,0.489,0.0,1,activation
FOS,CEBPD,0.489,0.0,1,activation
SOX4,HMGA2,0.4865,0.0,1,activation
JUNB,DDIT3,0.4853,0.0,1,activation
JUND,DDIT3,0.4846,0.0,1,activation
FOSB,SOX9,0.4731,0.0,1,activation
FOS,SOX9,0.4679,0.0,1,activation
KLF10,ATF3,0.4654,0.0,1,activation
ATF3,KLF10,0.4654,0.0,1,activation
JUN,DDIT3,0.4637,0.0,1,activation
CEBPD,CEBPB,0.4614,0.0,1,activation
YBX1,MAFG,0.4557,0.0,1,activation
BHLHE40,SOX9,0.4476,0.0,1,activation
MAFK,DDIT3,0.4436,0.0,1,activation
KLF5,ATF3,0.4273,0.0,1,activation
BHLHE40,DDIT3,0.4269,0.0,1,activation
FOSB,KLF10,0.418,0.0,1,activation
CEBPB,DDIT3,0.4166,0.0,1,activation
DDIT3,CEBPB,0.4166,0.0,1,activation
KLF4,SOX9,0.4129,0.0,1,activation
CEBPB,GATA6,0.411,0.0,1,activation
HMGA2,KLF5,0.3585,0.0,1,activation
KLF6,E2F1,-0.3515,0.0,-1,inhibition
JUNB,ELF3,0.3419,0.0,1,activation
ELF3,KLF10,0.3348,0.0,1,activation
ELF3,KLF5,0.3341,0.0,1,activation
SOX9,FOSL2,0.3326,0.0,1,activation
JUND,MAFG,0.3238,0.0,1,activation
KLF4,GATA6,0.3191,0.0,1,activation
KLF6,GATA6,0.3123,0.0,1,activation
SOX11,JUNB,0.2945,0.0,1,activation
JUNB,SOX11,0.2945,0.0,1,activation
CEBPB,SOX9,0.2937,0.0,1,activation
KLF6,SOX11,0.2866,0.0,1,activation
YBX1,BHLHE40,0.2758,0.0,1,activation
ELF3,FOSL2,0.2705,0.0,1,activation
KLF6,MYBL2,-0.2544,0.0,-1,inhibition
KLF10,MAFG,0.2436,0.0,1,activation
FOSB,GATA6,0.2332,0.0,1,activation
ELF3,KLF4,0.2279,0.0,1,activation
GATA6,FOSL2,0.2264,0.0,1,activation
ELF3,ATF3,0.2254,0.0,1,activation
ATF3,ELF3,0.2254,0.0,1,activation
ELF3,BHLHE40,0.2224,0.0,1,activation
ELF3,JUN,0.1946,0.0,1,activation
CEBPB,SOX17,0.1906,0.0,1,activation
HMGA2,ELK3,0.184,0.0,1,activation
YBX1,ELK3,0.1782,0.0,1,activation
YBX1,HES1,0.1675,0.0,1,activation
HMGA2,MAFG,0.1599,0.0,1,activation
SOX9,DDIT3,0.1577,0.0,1,activation
HMGA2,FOSL2,-0.1489,0.0,-1,inhibition
RBPJL,NEUROD1,0.1278,0.0,1,activation
NEUROD1,RBPJL,0.1278,0.0,1,activation
LTF,FOSL2,0.1261,0.0,1,activation
DDIT3,MAFG,0.123,0.0,1,activation
JUN,RBPJL,-0.0955,0.0,-1,inhibition
PTF1A,SPIB,0.093,0.0,1,activation
KLF6,GATA5,0.0881,0.0,1,activation
ELF3,SOX11,-0.0834,0.0,-1,inhibition
RBPJL,SPIB,0.0832,0.0,1,activation
SPIB,RBPJL,0.0832,0.0,1,activation
SOX9,SPIB,0.0629,0.0,1,activation
YBX1,DDIT3,-0.0592,0.0,-1,inhibition
FOS,ELK3,-0.0521,0.0,-1,inhibition
